Restart 0,,,,,,,,,,
Lap #: 1,,,,,,,,,,
Sort Lap: 3,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
9,7,,1,2,,1,2,,0,0
,,,,,,,,,,
43,10,,3,4,,4,3,,-1,1
,,,,,,,,,,
34,5,,6,5,,14,5,,-8,0
,,,,,,,,,,
14,17,,8,7,,7,6,,1,1
,,,,,,,,,,
47,38,,10,9,,11,8,,-1,1
,,,,,,,,,,
23,11,,12,11,,16,9,,-4,2
,,,,,,,,,,
12,20,,14,13,,10,12,,4,1
,,,,,,,,,,
2,41,,16,15,,13,17,,3,-2
,,,,,,,,,,
22,4,,18,17,,15,22,,3,-5
,,,,,,,,,,
45,21,,20,19,,20,19,,0,0
,,,,,,,,,,
24,1,,22,21,,21,18,,1,3
,,,,,,,,,,
54,19,,23,24,,24,23,,-1,1
,,,,,,,,,,
3,77,,25,26,,25,26,,0,0
,,,,,,,,,,
16,8,,27,28,,29,27,,-2,1
,,,,,,,,,,
51,31,,30,29,,30,28,,0,1
,,,,,,,,,,
,42,,,31,,,31,,,0
,,,,,,,,,,
,48,,,32,,,32,,,0
